Start time:  Wednesday, November 30, 2022 PM06:34:40 HKT
run: ../tools/do_tst_2+2 -mpi
 using output from:
run: ./testreport -of ../../experiments/linux_amd64_mpi_custom -mpi
on : Linux slowking-hkust 5.15.0-53-generic #59~20.04.1-Ubuntu SMP Thu Oct 20 15:10:22 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux

  OPTFILE=/home/jclmak/MITgcm/experiments/linux_amd64_mpi_custom

test 2+2=4 summary :

P. Run  Result     experiment
  1 2 3
Y Y Y Y  pass   <- adjustment.128x64x1
Y Y Y Y  pass   <- adjustment.cs-32x32x1
N N N N FAIL (8) - adjustment.cs-32x32x1.nlfs
Y Y Y Y  pass   <- advect_cs
Y Y Y Y  pass   <- advect_xy
Y Y Y Y  pass   <- advect_xy.ab3_c4
Y Y Y Y  pass   <- advect_xz
Y Y Y Y  pass   <- advect_xz.nlfs
Y Y Y Y  pass   <- advect_xz.pqm
Y Y Y Y  pass   <- aim.5l_cs
Y Y Y Y  pass   <- aim.5l_cs.thSI
Y Y Y Y  pass   <- aim.5l_Equatorial_Channel
Y Y Y Y  pass   <- aim.5l_LatLon
Y Y Y Y  pass   <- cfc_example
Y Y Y Y  pass   <- cheapAML_box
Y Y Y Y  pass   <- deep_anelastic
Y Y Y Y  pass   <- dome
Y Y Y Y  pass   <- exp2
Y Y Y Y  pass   <- exp2.rigidLid
Y Y Y Y  pass   <- exp4
Y Y Y Y  pass   <- exp4.nlfs
Y Y Y Y  pass   <- exp4.stevens
Y Y Y Y  pass   <- fizhi-gridalt-hs
Y Y Y Y  pass   <- flt_example
Y Y Y Y  pass   <- front_relax
Y Y Y Y  pass   <- front_relax.bvp
Y Y Y Y  pass   <- front_relax.in_p
Y Y Y Y  pass   <- front_relax.mxl
Y Y Y Y  pass   <- front_relax.top
Y Y Y Y  pass   <- global_ocean.90x40x15
Y Y Y Y  pass   <- global_ocean.90x40x15.dwnslp
Y Y Y Y  pass   <- global_ocean.90x40x15.idemix
Y Y Y Y  pass   <- global_ocean.cs32x15
Y Y Y Y  pass   <- global_ocean.cs32x15.icedyn
Y Y Y Y  pass   <- global_ocean.cs32x15.in_p
Y Y Y Y  pass   <- global_ocean.cs32x15.seaice
Y Y Y Y  pass   <- global_ocean.cs32x15.thsice
Y Y Y Y  pass   <- global_ocean.cs32x15.viscA4
